player,salary,team,pos,opp,ceil,floor,fpts
Martin Prado,3400,MIA,3B,PHI,,,6.35
Adeiny Hechavarria,2600,MIA,SS,PHI,,,4.88
Marcell Ozuna,3300,MIA,OF,PHI,,,6.77
Christian Yelich,4900,MIA,OF,PHI,,,8.46
Derek Dietrich,3200,MIA,2B,PHI,,,6.35
Chris Johnson,2400,MIA,1B/3B,PHI,,,4.95
Cody Asche,3600,PHI,OF,MIA,,,5.92
Freddy Galvis,4200,PHI,SS,MIA,,,5.42
Peter Bourjos,3500,PHI,OF,MIA,,,6.02
Cesar Hernandez,3300,PHI,2B,MIA,,,5.06
Cameron Rupp,3800,PHI,C,MIA,,,6.33
Odubel Herrera,4800,PHI,OF,MIA,,,8.24
Maikel Franco,4400,PHI,3B,MIA,,,8.09
Ryan Howard,3500,PHI,1B,MIA,,,5.71
Ichiro Suzuki,4000,MIA,OF,PHI,,,5.01
Jeff Mathis,2500,MIA,C,PHI,,,4.41
Jonathan Villar,5100,MIL,SS,PIT,,,8.88
Scooter Gennett,3700,MIL,2B,PIT,,,5.37
Ryan Braun,4300,MIL,OF,PIT,,,9.28
Chris Carter,4200,MIL,1B,PIT,,,6.73
Hernan Perez,3300,MIL,3B/OF,PIT,,,6.16
John Jaso,3100,PIT,1B,MIL,,,6.19
Andrew McCutchen,4300,PIT,OF,MIL,,,8.97
Jordy Mercer,3100,PIT,SS,MIL,,,5.4
Starling Marte,5500,PIT,OF,MIL,,,8.95
Gregory Polanco,5200,PIT,OF,MIL,,,9.56
David Freese,3100,PIT,1B/3B,MIL,,,6.25
Will Middlebrooks,2500,MIL,3B,PIT,9.3,0,4.65
Jake Elmore,2500,MIL,1B/3B,PIT,,,5.46
Martin Maldonado,2500,MIL,C,PIT,,,4.79
Adam Frazier,3200,PIT,OF/SS,MIL,,,6.09
Eric Fryer,2600,PIT,C,MIL,,,4.98
Dustin Pedroia,4300,BOS,2B,MIN,,,8.29
Hanley Ramirez,3800,BOS,1B,MIN,,,7.85
David Ortiz,5600,BOS,1B,MIN,,,11.03
Xander Bogaerts,4300,BOS,SS,MIN,,,9.35
Travis Shaw,4600,BOS,1B/3B,MIN,,,7.88
Mookie Betts,5300,BOS,OF,MIN,,,9.48
Jackie Bradley,4800,BOS,OF,MIN,,,8.34
Brock Holt,3800,BOS,OF,MIN,,,6.63
Eduardo Nunez,4400,MIN,3B/SS,BOS,,,7.04
Robbie Grossman,3300,MIN,OF,BOS,,,5.84
Joe Mauer,4600,MIN,1B,BOS,,,6.15
Brian Dozier,3300,MIN,2B,BOS,,,7.65
Kennys Vargas,3400,MIN,1B,BOS,,,6.03
Kurt Suzuki,2900,MIN,C,BOS,,,4.34
Max Kepler,4400,MIN,OF,BOS,,,6.91
Miguel Sano,4000,MIN,3B/OF,BOS,,,7.64
Eddie Rosario,3400,MIN,OF,BOS,,,6.12
Ryan Hanigan,2900,BOS,C,MIN,,,4.77
Wil Myers,4800,SDP,1B,STL,,,7.87
Matt Kemp,2900,SDP,OF,STL,,,6.93
